Colorcode;Colorname;Finish;num;pre_aantal;omschrijving;pdf;ean;CN;beeld;vv;aantal;ar
A05.1.0;Papyrus White;Satin;431089;135;UNI COLOURS;2018_meteon.pdf;A0510-431089;A0510;201910361_METEON_1.pdf;op 1 rol;135;1
A05.5.0;Quartz Grey;Satin;431077;265;UNI COLOURS;2018_meteon.pdf;A0550-431077;A0550;201910361_METEON_2.pdf;op 1 rol;265;1
A06.3.5;Ochre;Satin;431116;135;UNI COLOURS;2018_meteon.pdf;A0635-431116;A0635;201910361_METEON_3.pdf;op 1 rol;135;1
A07.1.1;Sand;Satin;431107;135;UNI COLOURS;2018_meteon.pdf;A0711-431107;A0711;201910361_METEON_4.pdf;op 1 rol;135;1
A17.3.5;Cyclam;Satin;431105;135;UNI COLOURS;2018_meteon.pdf;A1735-431105;A1735;201910361_METEON_5.pdf;op 1 rol;135;1
A21.1.0;Winter Grey;Satin;431082;265;UNI COLOURS;2018_meteon.pdf;A2110-431082;A2110;201910361_METEON_6.pdf;op 1 rol;265;1
A32.7.2 ;Dark Green;Satin;431115;135;UNI COLOURS;2018_meteon.pdf;A3272 -431115;A3272 ;201910361_METEON_7.pdf;op 1 rol;135;1
A03.4.0;Silver Grey;Satin;400490;2078;UNI COLOURS;2018_meteon.pdf;A0340-400490;A0340;201910361_METEON_8.pdf;op 1 rol;2078;1
A12.1.8;Passion Red;Satin;430142;730;UNI COLOURS;2018_meteon.pdf;A1218-430142;A1218;201910361_METEON_9.pdf;op 1 rol;730;1
A12.6.3;Wine Red;Satin;400571;730;UNI COLOURS;2018_meteon.pdf;A1263-400571;A1263;201910361_METEON_10.pdf;op 1 rol;730;1
A25.8.1;Anthracite Grey;Satin;400625;2817;UNI COLOURS;2018_meteon.pdf;A2581-400625;A2581;201910361_METEON_11.pdf;verdeeld over 2 rollen van 1410;1409;2
A25.8.1;Anthracite Grey;Satin;400625;2817;UNI COLOURS;2018_meteon.pdf;A2581-400625;A2581;201910361_METEON_11.pdf;verdeeld over 2 rollen van 1411;1409;2
A28.6.2;Mid Green;Satin;400632;730;UNI COLOURS;2018_meteon.pdf;A2862-400632;A2862;201910361_METEON_12.pdf;op 1 rol;730;1
