Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;ean;CN;beeld
Maat  L|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|750;40;L;4251530209845;groß;32,1;g_aufkleber_jonas_schwarz_L_75x125_outline.pdf
Maat  M|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|750;40;M;4251530209838;groß;32,1;g_aufkleber_jonas_schwarz_M_75x125_outline.pdf
Maat  S|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|750;40;S;4251530209821;groß;32,1;g_aufkleber_jonas_schwarz_S_75x125_outline.pdf
Maat  XL|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|750;40;XL;4251530209852;groß;32,1;g_aufkleber_jonas_schwarz_XL_75x125_outline.pdf
Maat  L|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|020;40;L;4251530209791;groß;32,1;g_aufkleber_jonas_weiss_L_75x125_outline.pdf
Maat  M|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|020;40;M;4251530209784;groß;32,1;g_aufkleber_jonas_weiss_M_75x125_outline.pdf
Maat  S|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|020;40;S;4251530209777;groß;32,1;g_aufkleber_jonas_weiss_S_75x125_outline.pdf
Maat  XL|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|020;40;XL;4251530209807;groß;32,1;g_aufkleber_jonas_weiss_XL_75x125_outline.pdf
Maat  36|65 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;70;36;4251530207889;groß;64,2;g_aufkleber_lene_schwarz_36_75x125_outline.pdf
Maat  38|97 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;100;38;4251530207896;groß;96,3;g_aufkleber_lene_schwarz_38_75x125_outline.pdf
Maat  40|65 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;70;40;4251530207902;groß;64,2;g_aufkleber_lene_schwarz_40_75x125_outline.pdf
Maat  42|33 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;40;42;4251530207919;groß;32,1;g_aufkleber_lene_schwarz_42_75x125_outline.pdf
Maat  44|17 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;20;44;4251530207926;groß;16,05;g_aufkleber_lene_schwarz_44_75x125_outline.pdf
