Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;ean;CN;beeld
A19.7.1;Charcoal Grey;Satin;431913;1444;UNI COLOURS;2018_meteon.pdf;A1971-431913;A1971;201917453_METEON_1.pdf
A12.4.5;East Red;Satin;431911;1444;UNI COLOURS;2018_meteon.pdf;A1245-431911;A1245;201917453_METEON_2.pdf
A09.6.4;Mahogany Red;Satin;400550;722;UNI COLOURS;2018_meteon.pdf;A0964-400550;A0964;201917453_METEON_3.pdf
A30.3.2 ;Verdigris;Satin;400634;722;UNI COLOURS;2018_meteon.pdf;A3032 -400634;A3032 ;201917453_METEON_4.pdf
A05.0.0;Pure White;Satin;400507;1590;UNI COLOURS;2018_meteon.pdf;A0500-400507;A0500;201917453_METEON_5.pdf
A05.0.0;Pure White;Satin;400507;1590;UNI COLOURS;2018_meteon.pdf;A0500-400507;A0500;201917453_METEON_5.pdf
A21.7.0;Steel Grey;Satin;430179;1360;UNI COLOURS;2018_meteon.pdf;A2170-430179;A2170;201917453_METEON_6.pdf
A05.5.0;Quartz Grey;Satin;430149;1350;UNI COLOURS;2018_meteon.pdf;A0550-430149;A0550;201917453_METEON_7.pdf
A05.5.0;Quartz Grey;Satin;430149;1350;UNI COLOURS;2018_meteon.pdf;A0550-430149;A0550;201917453_METEON_7.pdf
A90.0.0;Black;Satin;400653;1810;UNI COLOURS;2018_meteon.pdf;A9000-400653;A9000;201917453_METEON_8.pdf
A90.0.0;Black;Satin;400653;1810;UNI COLOURS;2018_meteon.pdf;A9000-400653;A9000;201917453_METEON_8.pdf
A05.1.1;Stone Beige;Satin;400518;722;UNI COLOURS;2018_meteon.pdf;A0511-400518;A0511;201917453_METEON_9.pdf
A22.4.4 ;Brilliant Blue;Satin;400604;722;UNI COLOURS;2018_meteon.pdf;A2244 -400604;A2244 ;201917453_METEON_10.pdf
A06.7.1;Natural Greige;Satin;430147;653;UNI COLOURS;2018_meteon.pdf;A0671-430147;A0671;201917453_METEON_11.pdf
A10.1.8;Red Orange;Satin;410586;722;UNI COLOURS;2018_meteon.pdf;A1018-410586;A1018;201917453_METEON_12.pdf
A20.7.2;Dark Blue;Satin;400586;722;UNI COLOURS;2018_meteon.pdf;A2072-400586;A2072;201917453_METEON_13.pdf
A08.2.1;Mid Beige;Satin;400535;722;UNI COLOURS;2018_meteon.pdf;A0821-400535;A0821;201917453_METEON_14.pdf
A16.5.1;Mauve;Satin;400578;722;UNI COLOURS;2018_meteon.pdf;A1651-400578;A1651;201917453_METEON_15.pdf
A10.4.5;Sienna Brown;Satin;431078;256;UNI COLOURS;2018_meteon.pdf;A1045-431078;A1045;201917453_METEON_16.pdf
A05.1.2;Champagne;Satin;431125;128;UNI COLOURS;2018_meteon.pdf;A0512-431125;A0512;201917453_METEON_17.pdf
A05.0.0;Pure White;Rock;431056;256;UNI COLOURS;2018_meteon.pdf;A0500-431056;A0500;201917453_METEON_18.pdf
A19.7.1;Charcoal Grey;Rock;431914;1444;UNI COLOURS;2018_meteon.pdf;A1971-431914;A1971;201917453_METEON_19.pdf
A22.2.4;Powder Blue;Rock;412204;722;UNI COLOURS;2018_meteon.pdf;A2224-412204;A2224;201917453_METEON_20.pdf
A22.6.2 ;Dark Denim;Rock;412129;722;UNI COLOURS;2018_meteon.pdf;A2262 -412129;A2262 ;201917453_METEON_21.pdf
A12.4.5;East Red;Rock;431912;1444;UNI COLOURS;2018_meteon.pdf;A1245-431912;A1245;201917453_METEON_22.pdf
NW30;Tropical Ipe;Matt;431931;2904;WOOD DECORS;2018_meteon.pdf;NW30-431931;NW30;201917453_METEON_23.pdf
NW08;Italian Walnut;Satin;401431;2819;WOOD DECORS;2018_meteon.pdf;NW08-401431;NW08;201917453_METEON_24.pdf
NW12;Natural Bagenda;Satin;411143;968;WOOD DECORS;2018_meteon.pdf;NW12-411143;NW12;201917453_METEON_25.pdf
NW11;Santos Palisander;Satin;411142;874;WOOD DECORS;2018_meteon.pdf;NW11-411142;NW11;201917453_METEON_26.pdf
NW02;Elegant Oak;Matt;430292;63;WOOD DECORS;2018_meteon.pdf;NW02-430292;NW02;201917453_METEON_27.pdf
NW25;Hesbania;Matt;430902;42;WOOD DECORS;2018_meteon.pdf;NW25-430902;NW25;201917453_METEON_28.pdf
NW29;Woodstone;Matt;430898;42;WOOD DECORS;2018_meteon.pdf;NW29-430898;NW29;201917453_METEON_29.pdf
NW02 ;Elegant Oak;Satin;401434;21;WOOD DECORS;2018_meteon.pdf;NW02 -401434;NW02 ;201917453_METEON_30.pdf
NW15;Milano Sabbia;Satin;411065;42;WOOD DECORS;2018_meteon.pdf;NW15-411065;NW15;201917453_METEON_31.pdf
NW10;English Cherry;Satin;410227;42;WOOD DECORS;2018_meteon.pdf;NW10-410227;NW10;201917453_METEON_32.pdf
NW14;French Walnut;Satin;411060;42;WOOD DECORS;2018_meteon.pdf;NW14-411060;NW14;201917453_METEON_33.pdf
NW03;Harmony Oak;Satin;401435;63;WOOD DECORS;2018_meteon.pdf;NW03-401435;NW03;201917453_METEON_34.pdf
NW05;Loft Brown;Satin;401437;42;WOOD DECORS;2018_meteon.pdf;NW05-401437;NW05;201917453_METEON_35.pdf
NW02 ;Elegant Oak;Matt;430826;513;WOOD DECORS;2018_meteon.pdf;NW02 -430826;NW02 ;201917453_METEON_36.pdf
NW08;Italian Walnut;Satin;430837;342;WOOD DECORS;2018_meteon.pdf;NW08-430837;NW08;201917453_METEON_37.pdf
NW10;English Cherry;Satin;430714;342;WOOD DECORS;2018_meteon.pdf;NW10-430714;NW10;201917453_METEON_38.pdf
C08.03;Brooklyn Classic;Diffuse;431575;1450;FOCUS;2018_meteon.pdf;C0803-431575;C0803;201917453_METEON_39.pdf
C08.03;Brooklyn Classic;Diffuse;431575;1450;FOCUS;2018_meteon.pdf;C0803-431575;C0803;201917453_METEON_39.pdf
C08.25;Brooklyn Anthracite;Diffuse;431533;1230;FOCUS;2018_meteon.pdf;C0825-431533;C0825;201917453_METEON_40.pdf
C08.25;Brooklyn Anthracite;Diffuse;431533;1230;FOCUS;2018_meteon.pdf;C0825-431533;C0825;201917453_METEON_40.pdf
CM05.04;Santiago Blanco;Diffuse;431553;722;FOCUS;2018_meteon.pdf;CM0504-431553;CM0504;201917453_METEON_41.pdf
CM09.06;Brooklyn Bronze;Diffuse;431551;384;FOCUS;2018_meteon.pdf;CM0906-431551;CM0906;201917453_METEON_42.pdf
C08.03;Brooklyn Classic;Diffuse;431528;384;FOCUS;2018_meteon.pdf;C0803-431528;C0803;201917453_METEON_43.pdf
L1245;California Red;Diffuse;431905;1444;LUMEN;2018_meteon.pdf;L1245-431905;L1245;201917453_METEON_44.pdf
L1971;Iceland Grey;Diffuse;431906;1444;LUMEN;2018_meteon.pdf;L1971-431906;L1971;201917453_METEON_45.pdf
L1245;California Red;Specular;431902;1444;LUMEN;2018_meteon.pdf;L1245-431902;L1245;201917453_METEON_46.pdf
L9000;Metropolis Black;Specular;431189;1090;LUMEN;2018_meteon.pdf;L9000-431189;L9000;201917453_METEON_47.pdf
L9000;Metropolis Black;Specular;431189;1090;LUMEN;2018_meteon.pdf;L9000-431189;L9000;201917453_METEON_47.pdf
L0500 ;Athens White;Diffuse;431218;72;LUMEN;2018_meteon.pdf;L0500 -431218;L0500 ;201917453_METEON_48.pdf
L0500 ;Athens White;Specular;431220;72;LUMEN;2018_meteon.pdf;L0500 -431220;L0500 ;201917453_METEON_49.pdf
L0500 ;Athens White;Oblique;431239;512;LUMEN;2018_meteon.pdf;L0500 -431239;L0500 ;201917453_METEON_50.pdf
L0500 ;Athens White;Specular;431419;384;LUMEN;2018_meteon.pdf;L0500 -431419;L0500 ;201917453_METEON_51.pdf
NA19 ;Italian Slate;Matt;431929;1936;NATURALS;2018_meteon.pdf;NA19 -431929;NA19 ;201917453_METEON_52.pdf
