Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf
9005;Jet Black;Satin;431368;968;RAL COLOURS;2018_meteon.pdf
9001;Cream;Satin;430571;968;RAL COLOURS;2018_meteon.pdf
A03.4.0;Silver Grey;Satin;400490;2166;UNI COLOURS;2018_meteon.pdf
A03.0.0;White;Satin;400482;1444;UNI COLOURS;2018_meteon.pdf
A10.4.5;Sienna Brown;Satin;400558;722;UNI COLOURS;2018_meteon.pdf
A11.8.0;Ceramic Greige;Satin;430146;722;UNI COLOURS;2018_meteon.pdf
A12.1.8;Passion Red;Satin;430142;1444;UNI COLOURS;2018_meteon.pdf
A22.1.6;Royal Blue;Satin;430150;722;UNI COLOURS;2018_meteon.pdf
A23.0.4 ;Mineral Blue;Satin;410582;4332;UNI COLOURS;2018_meteon.pdf
A34.8.1 ;Forest Green;Satin;400644;722;UNI COLOURS;2018_meteon.pdf
A35.4.0 ;Cactus Green;Satin;430178;722;UNI COLOURS;2018_meteon.pdf
A37.0.8;Lime Green;Satin;430144;1444;UNI COLOURS;2018_meteon.pdf
A36.3.5;Turf Green;Satin;410584;722;UNI COLOURS;2018_meteon.pdf
A14.7.2;Deep Red Brown;Satin;431104;128;UNI COLOURS;2018_meteon.pdf
A03.1.0;Pastel Grey;Satin;431136;256;UNI COLOURS;2018_meteon.pdf
A08.2.1;Mid Beige;Rock;400533;722;UNI COLOURS;2018_meteon.pdf
NW28;Halmstad;Matt;430896;4840;WOOD DECORS;2018_meteon.pdf
NW13 ;Country Wood;Satin;411144;968;WOOD DECORS;2018_meteon.pdf
NW16;Milano Terra;Satin;430721;342;WOOD DECORS;2018_meteon.pdf
NW13 ;Country Wood;Satin;430717;171;WOOD DECORS;2018_meteon.pdf
NA17;Natural Graphite;Matt;431643;968;NATURALS;2018_meteon.pdf
M53.0.2;Copper Yellow;Satin;431146;128;METALLICS;2018_meteon.pdf
C08.25 ;Brooklyn Anthracite;Diffuse;431531;36;FOCUS;2018_meteon.pdf
C01.21;Chester Grey;Diffuse;431966;36;FOCUS;2018_meteon.pdf
CM03.24;Tribeca Zinc;Diffuse;431973;36;FOCUS;2018_meteon.pdf
CM03.16;Tribeca Iron;Diffuse;431972;36;FOCUS;2018_meteon.pdf
CM03.10;Tribeca Bronze;Diffuse;431971;36;FOCUS;2018_meteon.pdf
CM03.06;Tribeca Gold;Diffuse;431970;36;FOCUS;2018_meteon.pdf
L2581 ;New York Grey;Diffuse;431430;384;LUMEN;2018_meteon.pdf
L9000;Metropolis Black;Diffuse;431234;512;LUMEN;2018_meteon.pdf
LM5101;Paris Silver;Diffuse;431520;256;LUMEN;2018_meteon.pdf
L9000;Metropolis Black;Oblique;431210;36;LUMEN;2018_meteon.pdf
L2581 ;New York Grey;Specular;431214;18;LUMEN;2018_meteon.pdf
PU17;Aged Ash;Matt | Flush | Brown core;431165;1560;WOOD DECORS;2018_meteon.pdf
PU24;Mystic Cedar;Matt | Flush | Brown core;431469;4200;WOOD DECORS;2018_meteon.pdf
PU30;Tropical Ipe;Matt | Flush | Brown core;431879;4080;WOOD DECORS;2018_meteon.pdf
PU28;Siberian Larch;Matt | Flush | Brown core;431470;1920;WOOD DECORS;2018_meteon.pdf
