Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf
9016;Traffic White;Satin;432034;1936;RAL COLOURS;2018_izeon.pdf
7035;Light Grey;Satin;432035;1936;RAL COLOURS;2018_izeon.pdf
5011;Steel Blue;Satin;432036;1936;RAL COLOURS;2018_izeon.pdf
7022;Umbra Grey;Satin;432037;1936;RAL COLOURS;2018_izeon.pdf
A24.4.1;Steel Blue;Satin;400615;722;UNI COLOURS;2018_meteon.pdf
A20.5.2 ;Lavender Blue;Satin;400582;722;UNI COLOURS;2018_meteon.pdf
A12.3.7;Carmine Red;Satin;400566;1444;UNI COLOURS;2018_meteon.pdf
A10.6.1;Taupe;Satin;400559;722;UNI COLOURS;2018_meteon.pdf
A22.3.1;Ocean Grey;Satin;400602;722;UNI COLOURS;2018_meteon.pdf
A22.2.4;Powder Blue;Satin;412114;722;UNI COLOURS;2018_meteon.pdf
A05.1.0;Papyrus White;Satin;400510;722;UNI COLOURS;2018_meteon.pdf
A36.3.5;Turf Green;Satin;431085;128;UNI COLOURS;2018_meteon.pdf
A03.0.0;White;Satin;431134;256;UNI COLOURS;2018_meteon.pdf
A03.4.0;Silver Grey;Satin;431138;74;UNI COLOURS;2018_meteon.pdf
A04.0.5;Zinc Yellow;Satin;431083;128;UNI COLOURS;2018_meteon.pdf
A04.1.7;Gold Yellow;Satin;431081;128;UNI COLOURS;2018_meteon.pdf
A05.0.0;Pure White;Satin;431132;256;UNI COLOURS;2018_meteon.pdf
A11.4.4;English Red;Satin;431088;128;UNI COLOURS;2018_meteon.pdf
A11.8.0;Ceramic Greige;Satin;431095;128;UNI COLOURS;2018_meteon.pdf
A08.3.1;Stone Grey;Rock;431054;128;UNI COLOURS;2018_meteon.pdf
NW29;Woodstone;Matt;430897;968;WOOD DECORS;2018_meteon.pdf
NW25;Hesbania;Matt;430893;968;WOOD DECORS;2018_meteon.pdf
NW08;Italian Walnut;Matt;430295;42;WOOD DECORS;2018_meteon.pdf
NW24 ;Greyed Cedar;Matt;430892;42;WOOD DECORS;2018_meteon.pdf
NW05;Loft Brown;Matt;430294;42;WOOD DECORS;2018_meteon.pdf
NW26;Core Ash;Matt;430901;42;WOOD DECORS;2018_meteon.pdf
NW14;French Walnut;Matt;430297;42;WOOD DECORS;2018_meteon.pdf
NW16;Milano Terra;Matt;430298;21;WOOD DECORS;2018_meteon.pdf
NW05;Loft Brown;Matt;430828;171;WOOD DECORS;2018_meteon.pdf
NW15;Milano Sabbia;Satin;430719;171;WOOD DECORS;2018_meteon.pdf
NW18;Light Mahogany;Satin;430725;342;WOOD DECORS;2018_meteon.pdf
NW23;Nordic Black;Satin;430733;171;WOOD DECORS;2018_meteon.pdf
NW30;Tropical Ipe;Matt;431956;1160;WOOD DECORS;2018_meteon.pdf
NA16;Belgian Bluestone;Matt;431637;775;NATURALS;2018_meteon.pdf
NM01;Rusted Brown;Matt;430916;42;NATURALS;2018_meteon.pdf
NM03;Corroded Green;Matt;430917;42;NATURALS;2018_meteon.pdf
NA18;Natural Slate;Matt;431952;1368;NATURALS;2018_meteon.pdf
NA19;Italian Slate;Matt;431954;1269;NATURALS;2018_meteon.pdf
NM05;Hardened Brown;Matt, this decor has gloss elements in the surface ;430907;2566;NATURALS;2018_meteon.pdf
M53.0.1;Copper Red;Satin;401000;722;METALLICS;2018_meteon.pdf
M21.3.4 ;Azurite Blue;Satin;431149;256;METALLICS;2018_meteon.pdf
CM05.21;Santiago Gris;Diffuse;431562;722;FOCUS;2018_meteon.pdf
CM09.06;Brooklyn Bronze;Diffuse;431549;36;FOCUS;2018_meteon.pdf
CM09.51;Brooklyn Aluminium;Diffuse;431542;18;FOCUS;2018_meteon.pdf
C01.21;Chester Grey;Diffuse;431942;640;FOCUS;2018_meteon.pdf
C01.25;Chester Anthracite;Diffuse;431943;1280;FOCUS;2018_meteon.pdf
C01.70;Chester Cement;Diffuse;431944;640;FOCUS;2018_meteon.pdf
C06.24;Bilbao Selva;Diffuse;431945;640;FOCUS;2018_meteon.pdf
C08.21;Brooklyn Luna;Diffuse;431529;256;FOCUS;2018_meteon.pdf
CM05.21;Santiago Gris;Diffuse;431563;256;FOCUS;2018_meteon.pdf
CM06.21;Bilbao Tierra;Diffuse;431950;640;FOCUS;2018_meteon.pdf
CM06.25;Bilbao Sombra;Diffuse;431951;640;FOCUS;2018_meteon.pdf
CM09.51;Brooklyn Aluminium;Diffuse;431541;256;FOCUS;2018_meteon.pdf
L1245 ;California Red;Oblique;431908;1374;LUMEN;2018_meteon.pdf
L1245 ;California Red;Diffuse;431905;3610;LUMEN;2018_meteon.pdf
L2581;New York Grey;Diffuse;431190;3113;LUMEN;2018_meteon.pdf
LM2181;Siberian Platinum;Oblique;431510;722;LUMEN;2018_meteon.pdf
L1245 ;California Red;Specular;431902;2093;LUMEN;2018_meteon.pdf
L0964 ;India Brown;Oblique;431241;128;LUMEN;2018_meteon.pdf
L1245 ;California Red;Oblique;431939;640;LUMEN;2018_meteon.pdf
L1245 ;California Red;Specular;431933;640;LUMEN;2018_meteon.pdf
L1971 ;Iceland Grey;Oblique;431940;640;LUMEN;2018_meteon.pdf
L1971 ;Iceland Grey;Specular;431935;384;LUMEN;2018_meteon.pdf
LM0641;China Gold;Diffuse;431502;256;LUMEN;2018_meteon.pdf
LM0641;China Gold;Oblique;431504;256;LUMEN;2018_meteon.pdf
E0-02;Silver Grey;Crystal Matt;430787;540;;2018_toplab_BASE.pdf
