Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;ean;CN;beeld;vv;van
9010;Pure White;Satin;430570;968;RAL COLOURS;2018_izeon.pdf;;9010;;;
7016;Anthracite Grey;Satin;430686;968;RAL COLOURS;2018_izeon.pdf;;7016;;;
A26.5.4 ;Pacific;Satin;400627;722;UNI COLOURS;2018_meteon.pdf;;A26.5.4 ;;;
A04.0.0 ;Cream White;Satin;400493;722;UNI COLOURS;2018_meteon.pdf;;A04.0.0 ;;;
A04.0.2;Pale Yellow;Satin;400500;722;UNI COLOURS;2018_meteon.pdf;;A04.0.2;;;
A04.1.7 ;Gold Yellow;Satin;400501;722;UNI COLOURS;2018_meteon.pdf;;A04.1.7 ;;;
A06.5.1 ;Toscana Greige;Satin;430148;722;UNI COLOURS;2018_meteon.pdf;;A06.5.1 ;;;
A08.2.1 ;Mid Beige;Satin;400535;722;UNI COLOURS;2018_meteon.pdf;;A08.2.1 ;;;
A11.4.4 ;English Red;Satin;400563;722;UNI COLOURS;2018_meteon.pdf;;A11.4.4 ;;;
A28.2.1 ;Aquamarine;Satin;400630;722;UNI COLOURS;2018_meteon.pdf;;A28.2.1 ;;;
A32.7.2 ;Dark Green;Satin;400640;722;UNI COLOURS;2018_meteon.pdf;;A32.7.2 ;;;
A33.3.6 ;Brilliant Green;Satin;400642;722;UNI COLOURS;2018_meteon.pdf;;A33.3.6 ;;;
A37.2.3;Spring Green;Satin;400649;722;UNI COLOURS;2018_meteon.pdf;;A37.2.3;;;
A10.3.4;Terra Cotta;Satin;400555;722;UNI COLOURS;2018_meteon.pdf;;A10.3.4;;;
A08.3.1;Stone Grey;Rock;400540;722;UNI COLOURS;2018_meteon.pdf;;A08.3.1;;;
A34.8.1;Forest Green;Rock;412139;722;UNI COLOURS;2018_meteon.pdf;;A34.8.1;;;
A05.1.4 ;Sun Yellow;Rock;412162;722;UNI COLOURS;2018_meteon.pdf;;A05.1.4 ;;;
A24.4.1;Steel Blue;Rock;400613;722;UNI COLOURS;2018_meteon.pdf;;A24.4.1;;;
A17.3.5 ;Cyclam;Rock;412165;722;UNI COLOURS;2018_meteon.pdf;;A17.3.5 ;;;
A10.3.4;Terra Cotta;Rock;412133;722;UNI COLOURS;2018_meteon.pdf;;A10.3.4;;;
A11.8.0 ;Ceramic Greige;Rock;430165;722;UNI COLOURS;2018_meteon.pdf;;A11.8.0 ;;;
A12.1.8;Passion Red;Satin;431079;128;UNI COLOURS;2018_meteon.pdf;;A12.1.8;;;
A21.7.0;Steel Grey;Satin;431074;384;UNI COLOURS;2018_meteon.pdf;;A21.7.0;;;
A90.0.0;Black;Satin;431135;256;UNI COLOURS;2018_meteon.pdf;;A90.0.0;;;
A37.0.8 ;Lime Green;Satin;431075;128;UNI COLOURS;2018_meteon.pdf;;A37.0.8 ;;;
A08.3.1 ;Stone Grey;Satin;431090;128;UNI COLOURS;2018_meteon.pdf;;A08.3.1 ;;;
A22.6.2;Dark Denim;Satin;431112;128;UNI COLOURS;2018_meteon.pdf;;A22.6.2;;;
A21.5.4 ;Cobalt Blue;Satin;431103;128;UNI COLOURS;2018_meteon.pdf;;A21.5.4 ;;;
A21.5.1;Mid Grey;Satin;431133;384;UNI COLOURS;2018_meteon.pdf;;A21.5.1;;;
A12.3.7 ;Carmine Red;Satin;431073;256;UNI COLOURS;2018_meteon.pdf;;A12.3.7 ;;;
A10.1.8;Red Orange;Satin;431076;128;UNI COLOURS;2018_meteon.pdf;;A10.1.8;;;
A25.8.1;Anthracite Grey;Satin;431137;512;UNI COLOURS;2018_meteon.pdf;;A25.8.1;;;
A25.8.1;Anthracite Grey;Rock;431053;256;UNI COLOURS;2018_meteon.pdf;;A25.8.1;;;
A21.5.1;Mid Grey;Rock;431059;128;UNI COLOURS;2018_meteon.pdf;;A21.5.1;;;
NW05;Loft Brown;Satin;401428;968;WOOD DECORS;2018_meteon.pdf;;NW05;;;
NW07;Montreux Sunglow;Satin;401430;968;WOOD DECORS;2018_meteon.pdf;;NW07;;;
NW06;Montreux Amber;Satin;401429;968;WOOD DECORS;2018_meteon.pdf;;NW06;;;
NW23;Nordic Black;Matt;430264;968;WOOD DECORS;2018_meteon.pdf;;NW23;;;
NW26;Core Ash;Matt;430894;968;WOOD DECORS;2018_meteon.pdf;;NW26;;;
NW22;Slate Wood;Matt;430263;968;WOOD DECORS;2018_meteon.pdf;;NW22;;;
NW09;Wenge;Matt;430713;171;WOOD DECORS;2018_meteon.pdf;;NW09;;;
NW22;Slate Wood;Satin;430730;171;WOOD DECORS;2018_meteon.pdf;;NW22;;;
NW19;Dark Mahogany;Satin;430726;171;WOOD DECORS;2018_meteon.pdf;;NW19;;;
NW09;Wenge;Satin;430838;171;WOOD DECORS;2018_meteon.pdf;;NW09;;;
NW04;Pacific Board;Satin;430833;171;WOOD DECORS;2018_meteon.pdf;;NW04;;;
NW03;Harmony Oak;Satin;430832;342;WOOD DECORS;2018_meteon.pdf;;NW03;;;
NW08;Italian Walnut;Satin;401440;21;WOOD DECORS;2018_meteon.pdf;;NW08;;;
NW23;Nordic Black;Satin;430251;21;WOOD DECORS;2018_meteon.pdf;;NW23;;;
NA12 ;Natural Chalkstone;Matt-Rock;430869;722;NATURALS;2018_meteon.pdf;;NA12 ;;;
NA17 ;Natural Graphite;Matt-Rock;431648;722;NATURALS;2018_meteon.pdf;;NA17 ;;;
NA16;Belgian Bluestone;Matt-Rock;431642;722;NATURALS;2018_meteon.pdf;;NA16;;;
NA12 ;Natural Chalkstone;Matt;430740;342;NATURALS;2018_meteon.pdf;;NA12 ;;;
NA13;Silver Quartzite;Matt;430741;342;NATURALS;2018_meteon.pdf;;NA13;;;
NM01;Rusted Brown;Matt;430903;342;NATURALS;2018_meteon.pdf;;NM01;;;
NM06;Tempered Grey;Matt, this decor has gloss elements in the surface ;430911;342;NATURALS;2018_meteon.pdf;;NM06;;;
NM08;Crafted White;Matt, this decor has gloss elements in the surface ;431573;171;NATURALS;2018_meteon.pdf;;NM08;;;
NM07;Casted Grey;Matt, this decor has gloss elements in the surface ;430910;342;NATURALS;2018_meteon.pdf;;NM07;;;
NM08;Crafted White;Matt, this decor has gloss elements in the surface ;431574;21;NATURALS;2018_meteon.pdf;;NM08;;;
M51.0.2;Urban Grey;Satin;404309;722;METALLICS;2018_meteon.pdf;;M51.0.2;;;
M04.4.1;Titanium Silver;Satin;411854;722;METALLICS;2018_meteon.pdf;;M04.4.1;;;
M04.4.1;Titanium Silver;Rock;412217;722;METALLICS;2018_meteon.pdf;;M04.4.1;;;
M51.0.2;Urban Grey;Satin;431142;256;METALLICS;2018_meteon.pdf;;M51.0.2;;;
M21.8.1;Graphite Grey;Satin;431143;256;METALLICS;2018_meteon.pdf;;M21.8.1;;;
CM05.04 ;Santiago Blanco;Diffuse;431552;256;FOCUS;2018_meteon.pdf;;CM05.04 ;;;
LM1055;Persian Copper;Diffuse;431490;722;LUMEN;2018_meteon.pdf;;LM1055;;;
LM0641;China Gold;Diffuse;431499;722;LUMEN;2018_meteon.pdf;;LM0641;;;
LM0561;Roman Bronze;Diffuse;431482;722;LUMEN;2018_meteon.pdf;;LM0561;;;
L9000;Metropolis Black;Diffuse;431009;1444;LUMEN;2018_meteon.pdf;;L9000;;;
L2151;London Grey;Diffuse;431193;722;LUMEN;2018_meteon.pdf;;L2151;;;
LM0641;China Gold;Specular;431503;256;LUMEN;2018_meteon.pdf;;LM0641;;;
LM0561;Roman Bronze;Diffuse;431579;256;LUMEN;2018_meteon.pdf;;LM0561;;;
L2151;London Grey;Specular;431429;256;LUMEN;2018_meteon.pdf;;L2151;;;
LM2181;Siberian Platinum;Oblique;431511;256;LUMEN;2018_meteon.pdf;;LM2181;;;
LM1055;Persian Copper;Specular;431495;256;LUMEN;2018_meteon.pdf;;LM1055;;;
L2151;London Grey;Oblique;431216;18;LUMEN;2018_meteon.pdf;;L2151;;;
S17-32;Speckle Powder Blue;Crystal Matt;430803;270;;2018_toplab_BASE.pdf;;S17-32;;;
