column;omschrijving_1;pdf_1;omschrijving_2;pdf_2;omschrijving_3;pdf_3
0;NW17: 1747 etiketten;leeg.pdf;NW25: 1093 etiketten;leeg.pdf;NW27: 162 etiketten;leeg.pdf
1;stans.pdf;201947742_meteon-vdp_outline_97.pdf;stans.pdf;201947742_meteon-vdp_outline_109.pdf;stans.pdf;201947742_meteon-vdp_outline_112.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
;;stans.pdf;;stans.pdf;;stans.pdf
