;Colorcode;color;aantal;beeld;vv
131;NA12;Natural Chalkstone ;99;201947742_meteon-vdp_outline_121.pdf;1
132;NA13;Silver Quartzite ;451;201947742_meteon-vdp_outline_122.pdf;1
133;NA13;Silver Quartzite ;46;201947742_meteon-vdp_outline_123.pdf;1
134;NA13;Silver Quartzite ;1041;201947742_meteon-vdp_outline_124.pdf;1
135;NA14;Weathered Basalt ;1357;201947742_meteon-vdp_outline_125.pdf;1
136;NA14;Weathered Basalt ;225;201947742_meteon-vdp_outline_126.pdf;1
137;NA14;Weathered Basalt ;23;201947742_meteon-vdp_outline_127.pdf;1
138;NA14;Weathered Basalt ;1511;201947742_meteon-vdp_outline_128.pdf;2
139;NA14;Weathered Basalt ;1511;201947742_meteon-vdp_outline_128.pdf;2
140;NA15;Indian Terra Cotta;13;201947742_meteon-vdp_outline_129.pdf;1
