Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;code;beeld
A12.4.5;East Red ;Satin;432072;90;UNI COLOURS;2018_meteon.pdf;A1245-432072;201953122_1.pdf
A19.7.1;Charcoal Grey ;Satin;432073;90;UNI COLOURS;2018_meteon.pdf;A1971-432073;201953122_2.pdf
A70.0.0;Slate Grey ;Satin;432074;90;UNI COLOURS;2018_meteon.pdf;A7000-432074;201953122_3.pdf
A10.1.8;Red Orange ;Satin;432075;18;UNI COLOURS;2018_meteon.pdf;A1018-432075;201953122_4.pdf
A41.0.6;Mojito Green ;Satin;432076;36;UNI COLOURS;2018_meteon.pdf;A4106-432076;201953122_5.pdf
A37.0.8;Lime Green;Satin;432077;54;UNI COLOURS;2018_meteon.pdf;A3708-432077;201953122_6.pdf
M21.3.4;Azurite Blue ;Satin;432078;54;METALLICS;2018_meteon.pdf;M2134-432078;201953122_7.pdf
M04.4.1;Titanium Silver ;Satin;432079;54;METALLICS;2018_meteon.pdf;M0441-432079;201953122_8.pdf
CM03.10 ;Tribeca Bronze ;Diffuse ;431971;36;FOCUS;2018_meteon.pdf;CM0310-431971;201953122_9.pdf
CM06.25;Bilbao Sombra ;Diffuse ;431975;18;FOCUS;2018_meteon.pdf;CM0625-431975;201953122_10.pdf
CM06.21;Bilbao Tierra ;Diffuse ;431974;18;FOCUS;2018_meteon.pdf;CM0621-431974;201953122_11.pdf
C01.21;Chester Grey ;Diffuse ;431966;36;FOCUS;2018_meteon.pdf;C0121-431966;201953122_12.pdf
C01.25 ;Chester Anthracite ;Diffuse ;431967;36;FOCUS;2018_meteon.pdf;C0125-431967;201953122_13.pdf
C01.70;Chester Cement;Diffuse ;431968;36;FOCUS;2018_meteon.pdf;C0170-431968;201953122_14.pdf
L1245;California Red ;Diffuse;431960;108;LUMEN;2018_meteon.pdf;L1245-431960;201953122_15.pdf
L1245;California Red ;Oblique;431963;90;LUMEN;2018_meteon.pdf;L1245-431963;201953122_16.pdf
L1245;California Red ;Specular;431957;126;LUMEN;2018_meteon.pdf;L1245-431957;201953122_17.pdf
L1971;Iceland Grey ;Diffuse;431961;72;LUMEN;2018_meteon.pdf;L1971-431961;201953122_18.pdf
L1971;Iceland Grey ;Oblique;431964;72;LUMEN;2018_meteon.pdf;L1971-431964;201953122_19.pdf
L1971;Iceland Grey ;Specular;431959;72;LUMEN;2018_meteon.pdf;L1971-431959;201953122_20.pdf
L7000;Alabama Grey ;Diffuse ;431962;54;LUMEN;2018_meteon.pdf;L7000-431962;201953122_21.pdf
L7000;Alabama Grey ;Oblique ;431965;72;LUMEN;2018_meteon.pdf;L7000-431965;201953122_22.pdf
L7000;Alabama Grey ;Specular ;431958;18;LUMEN;2018_meteon.pdf;L7000-431958;201953122_23.pdf
L9000;Metropolis Black ;Oblique;431210;72;LUMEN;2018_meteon.pdf;L9000-431210;201953122_24.pdf
L9000;Metropolis Black ;Specular;431211;72;LUMEN;2018_meteon.pdf;L9000-431211;201953122_25.pdf
LM2181;Siberian Platinum ;Diffuse;431514;90;LUMEN;2018_meteon.pdf;LM2181-431514;201953122_26.pdf
LM2181;Siberian Platinum ;Oblique;431516;126;LUMEN;2018_meteon.pdf;LM2181-431516;201953122_27.pdf
LM2181;Siberian Platinum ;Specular;431515;36;LUMEN;2018_meteon.pdf;LM2181-431515;201953122_28.pdf
